,product_id,product_name,display_price,regular_price,currency,uom,item_link,item_imge_link
17,456036,Nấm kim châm Green Peace 150g,"14,000","16,000",₫,Gói,https://online.mmvietnam.com/san-pham/mm-an-phu/nam-kim-cham-green-peace-150g-456036/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/185135-300x300.jpg
18,455142,Táo Envy xuất xứ Mỹ – Big size,"239,000",,₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/tao-envy-xuat-xu-my-big-size-455142/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/188137-300x300.jpg
19,451231,Bí Nhật non Đà Lạt 600g,"22,000",,₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/bi-nhat-non-da-lat-600g-451231/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/394045-300x300.jpg
0,448532,Lẩu Tomyum ba chỉ bò Mỹ 1.3kg,"284,000",,₫,Cái,https://online.mmvietnam.com/san-pham/mm-an-phu/lau-tomyum-ba-chi-bo-my-1-3kg-448532/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/394850-300x300.jpg
1,448553,Lẩu Tứ Xuyên thịt ba chỉ bò đông lạnh 1.3kg,"419,000",,₫,Cái,https://online.mmvietnam.com/san-pham/mm-an-phu/lau-tu-xuyen-thit-ba-chi-bo-dong-lanh-1-3kg-448553/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/399038-300x300.jpg
2,448574,Lẩu riêu cua bắp bò đông lạnh 1.3kg,"345,000",,₫,Cái,https://online.mmvietnam.com/san-pham/mm-an-phu/lau-rieu-cua-bap-bo-dong-lanh-1-3kg-448574/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/399040-300x300.jpg
3,448615,Me ngọt Thái Lan 500g,"55,000",,₫,Hộp,https://online.mmvietnam.com/san-pham/mm-an-phu/me-ngot-thai-lan-500g-448615/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/128499-300x300.jpg
4,448636,Bưởi năm roi We Are Fresh 1kg trở lên,"34,000",,₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/buoi-nam-roi-we-are-fresh-1kg-tro-len-448636/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/391357-300x300.jpg
5,448656,Khoai tây Đà Lạt We Are Fresh 1kg,"39,000",,₫,Cái,https://online.mmvietnam.com/san-pham/mm-an-phu/khoai-tay-da-lat-we-are-fresh-1kg-448656/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/398908-300x300.jpg
6,446790,Nho đen không hạt nhập khẩu Úc,"139,000",,₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/nho-den-khong-hat-nhap-khau-uc-446790/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/350463-300x300.jpg
7,444403,Cà rốt Đà Lạt We Are Fresh 1kg,"33,000",,₫,Kg,https://online.mmvietnam.com/san-pham/mm-an-phu/ca-rot-da-lat-we-are-fresh-1kg-444403/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/398906-300x300.jpg
8,444424,Táo Fuji nhập khẩu xuất xứ Hàn Quốc,"65,000",,₫,Cái,https://online.mmvietnam.com/san-pham/mm-an-phu/tao-fuji-nhap-khau-xuat-xu-han-quoc-444424/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/399123-300x300.jpg
9,444438,Cà chua Facies 1kg,"37,000",,₫,Hộp,https://online.mmvietnam.com/san-pham/mm-an-phu/ca-chua-facies-1kg-444438/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/394048-300x300.jpg
10,444458,Thịt tôm lột,"325,000",,₫,Ký,https://online.mmvietnam.com/san-pham/mm-an-phu/thit-tom-lot-444458/,https://storage.googleapis.com/mm-online-bucket/ecommerce-website/uploads/media/398724-300x300.jpg
